gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_original,reading_score_original,writing_score_original,gender_original,race/ethnicity_original,parental_level_of_education_original,lunch_original,test_preparation_course_original,math_score_binned
0,2,4,1,1,0.3701309159652094,0.16376092136377138,0.16310428148404868,72,72,71,female,group C,some college,standard,none,1
1,3,2,1,1,-0.6763680798530766,-1.4185561860851956,-1.0158323145640864,57,50,54,male,group D,high school,standard,none,0
1,0,5,0,1,0.09106451708033314,0.16376092136377138,-0.32234019924165397,68,72,64,male,group A,some high school,free/reduced,none,1
0,2,4,1,0,1.4863965115047144,1.8180015336967823,1.7581361467256431,88,95,94,female,group C,some college,standard,completed,2
1,3,4,1,1,0.6491973148500857,-0.41162711770858024,-0.1836417761771675,76,64,66,male,group D,some college,standard,none,1
1,2,0,1,1,-1.4438006767864864,-1.9220207202735033,-1.8480228529510052,46,43,42,male,group C,associate's degree,standard,none,0
0,1,1,1,1,0.02129791735911408,1.1706899897403868,0.9952948198709675,67,86,83,female,group B,bachelor's degree,standard,none,1
1,4,5,1,1,1.7654629103895907,1.2426134946244307,0.6485487622097513,92,87,78,male,group E,some high school,standard,none,2
1,2,1,1,0,1.1375635128986192,0.882995970204211,1.0646440314032108,83,82,84,male,group C,bachelor's degree,standard,completed,2
1,3,0,1,1,0.928263713734962,0.3795314360159032,0.5791995506775081,80,75,77,male,group D,associate's degree,standard,none,2
1,3,1,0,1,-0.2577684815257622,-0.26778010794049234,-0.11429256464492427,63,66,67,male,group D,bachelor's degree,free/reduced,none,1
0,3,5,1,0,-0.18800188180454314,-0.6993211372447561,0.37115191608077835,64,60,74,female,group D,some high school,standard,completed,1
1,1,4,1,1,-0.8856678790167338,-1.2747091763171077,-1.223879949160816,54,52,51,male,group B,some college,standard,none,0
1,2,0,1,1,1.2073301126198381,0.739148960436123,0.7872471852742378,84,80,80,male,group C,associate's degree,standard,none,2
1,3,2,0,0,0.4398975156864285,-0.12393309817240444,-0.1836417761771675,73,68,66,male,group D,high school,free/reduced,completed,1
0,4,1,1,1,0.928263713734962,0.9549194750882549,0.9952948198709675,80,83,83,female,group E,bachelor's degree,standard,none,2
0,3,2,1,1,-0.7461346795742957,-1.2747091763171077,-0.9464831030318431,56,52,55,female,group D,high school,standard,none,0
1,4,4,1,1,-0.5368348804106384,-1.3466326812011518,-1.7786736414187618,59,51,43,male,group E,some college,standard,none,0
1,3,5,1,1,0.5794307151288666,0.3076079311318593,0.0244058584195622,75,74,69,male,group D,some high school,standard,none,1
1,2,0,1,1,1.2770967123410573,0.4514549408999472,0.16310428148404868,85,76,71,male,group C,associate's degree,standard,none,2
1,4,0,1,1,1.5561631112259335,0.4514549408999472,0.37115191608077835,89,76,74,male,group E,associate's degree,standard,none,2
0,1,2,1,0,-0.6066014801318576,0.019913911595683467,-0.044943353112681036,58,70,68,female,group B,high school,standard,completed,0
0,1,2,1,1,-0.11823528208332405,-0.41162711770858024,-0.46103862230614046,65,64,62,female,group B,high school,standard,none,1
1,2,2,1,1,0.09106451708033314,-0.6993211372447561,-1.0851815260963296,68,60,53,male,group C,high school,standard,none,1
1,0,5,1,0,-1.3740340770652673,-1.4904796909692395,-1.3625783722253024,47,49,49,male,group A,some high school,standard,completed,0
0,3,4,0,1,0.30036431624399035,0.9549194750882549,0.9952948198709675,71,83,83,female,group D,some college,free/reduced,none,1
0,1,5,1,0,-0.4670682806894194,0.019913911595683467,0.09375506995180544,60,70,70,female,group B,some high school,standard,completed,0
1,3,3,1,1,0.928263713734962,0.739148960436123,0.2324534930162919,80,80,72,male,group D,master's degree,standard,none,2
1,3,2,1,1,-0.8856678790167338,-1.2747091763171077,-1.1545307376285727,54,52,52,male,group D,high school,standard,none,0
0,4,4,1,1,-0.3275350812469813,0.23568442624781533,0.09375506995180544,62,73,70,female,group E,some college,standard,none,1
0,2,0,0,1,-0.18800188180454314,0.23568442624781533,-0.044943353112681036,64,73,68,female,group C,associate's degree,free/reduced,none,1
1,2,0,1,0,0.7887305142925238,0.5233784457839912,0.5791995506775081,78,77,77,male,group C,associate's degree,standard,completed,1
0,1,4,1,1,0.23059771652277128,0.3795314360159032,0.6485487622097513,70,75,78,female,group B,some college,standard,none,1
0,2,3,0,0,-0.11823528208332405,0.811072465320167,0.856596396806481,65,81,81,female,group C,master's degree,free/reduced,completed,1
0,2,5,0,0,-0.18800188180454314,0.667225455552079,0.5791995506775081,64,79,77,female,group C,some high school,free/reduced,completed,1
1,2,4,1,0,0.8584971140137428,0.667225455552079,0.6485487622097513,79,79,78,male,group C,some college,standard,completed,1
0,2,5,0,1,-1.5833338762289244,-1.4185561860851956,-1.223879949160816,44,50,51,female,group C,some high school,free/reduced,none,0
0,4,2,1,1,2.2538291084381243,1.6741545239286943,1.4807393005966702,99,93,90,female,group E,high school,standard,none,2
1,3,2,1,1,0.6491973148500857,0.23568442624781533,-0.044943353112681036,76,73,68,male,group D,high school,standard,none,1
1,3,5,0,1,-0.5368348804106384,-1.9939442251575472,-1.9173720644832484,59,42,41,male,group D,some high school,free/reduced,none,0
0,2,1,1,1,-0.2577684815257622,0.3795314360159032,0.856596396806481,63,75,81,female,group C,bachelor's degree,standard,none,1
0,3,2,1,1,0.1608311168015522,0.16376092136377138,0.5791995506775081,69,72,77,female,group D,high school,standard,none,1
0,3,0,1,0,1.4863965115047144,1.6022310190446505,1.8274853582578863,88,92,95,female,group D,associate's degree,standard,completed,2
0,4,4,0,1,0.30036431624399035,0.4514549408999472,0.09375506995180544,71,76,70,female,group E,some college,free/reduced,none,1
1,2,1,1,1,0.1608311168015522,-0.4835506225926242,-0.5303878338383837,69,63,61,male,group C,bachelor's degree,standard,none,1
1,2,4,1,1,-0.6066014801318576,-1.4904796909692395,-1.8480228529510052,58,49,42,male,group C,some college,standard,none,0
0,3,0,0,1,-1.3740340770652673,-1.2027856714330638,-0.7384354684351134,47,53,58,female,group D,associate's degree,free/reduced,none,0
0,3,4,1,1,-0.11823528208332405,0.019913911595683467,0.16310428148404868,65,70,71,female,group D,some college,standard,none,1
1,1,4,1,0,1.4863965115047144,1.0987664848563428,0.5098503391452649,88,85,76,male,group B,some college,standard,completed,2
1,2,1,1,1,1.1375635128986192,0.5953019506680352,0.30180270454853514,83,78,73,male,group C,bachelor's degree,standard,none,2
0,2,5,1,0,1.2770967123410573,1.6022310190446505,1.6887869351934,85,92,93,female,group C,some high school,standard,completed,2
0,4,2,1,0,-0.5368348804106384,-0.4835506225926242,0.4405011276130216,59,63,75,female,group E,high school,standard,completed,0
0,2,5,0,1,-0.11823528208332405,1.1706899897403868,0.7872471852742378,65,86,80,female,group C,some high school,free/reduced,none,1
1,1,1,0,1,0.4398975156864285,-0.9870151567809319,-0.8077846799673566,73,56,57,male,group B,bachelor's degree,free/reduced,none,1
1,3,2,1,1,-0.9554344787379528,-1.2747091763171077,-1.8480228529510052,53,52,42,male,group D,high school,standard,none,0
1,3,2,1,1,-1.5135672765077055,-1.5624031958532836,-1.5706260068220321,45,48,46,male,group D,high school,standard,none,0
0,3,1,0,1,0.4398975156864285,0.667225455552079,1.0646440314032108,73,79,84,female,group D,bachelor's degree,free/reduced,none,1
0,3,4,0,0,0.23059771652277128,0.5953019506680352,0.6485487622097513,70,78,78,female,group D,some college,free/reduced,completed,1
0,1,5,1,1,-2.071700074277458,-1.7062502056213715,-1.5706260068220321,37,46,46,female,group B,some high school,standard,none,0
1,1,0,1,0,0.998030313456181,0.882995970204211,0.9259456083387243,81,82,82,male,group B,associate's degree,standard,completed,2
1,4,0,1,0,2.114295908995686,0.882995970204211,1.3420408775321837,97,82,88,male,group E,associate's degree,standard,completed,2
0,1,5,1,1,0.02129791735911408,1.3864605043925187,0.9259456083387243,67,89,82,female,group B,some high school,standard,none,1
1,1,1,0,1,1.4863965115047144,0.3795314360159032,0.5098503391452649,88,75,76,male,group B,bachelor's degree,free/reduced,none,2
1,4,5,1,0,0.7189639145713047,0.4514549408999472,0.5791995506775081,77,76,77,male,group E,some high school,standard,completed,1
1,2,0,1,1,0.6491973148500857,0.019913911595683467,-0.044943353112681036,76,70,68,male,group C,associate's degree,standard,none,1
1,3,5,1,1,1.3468633120622764,0.23568442624781533,0.09375506995180544,86,73,70,male,group D,some high school,standard,none,2
1,2,5,1,0,-0.2577684815257622,-0.6993211372447561,-0.8077846799673566,63,60,57,male,group C,some high school,standard,completed,1
0,4,1,1,1,-0.11823528208332405,0.23568442624781533,0.4405011276130216,65,73,75,female,group E,bachelor's degree,standard,none,1
1,3,2,0,0,0.7887305142925238,0.5233784457839912,0.7872471852742378,78,77,80,male,group D,high school,free/reduced,completed,1
1,1,0,0,1,0.02129791735911408,-0.5554741274766681,-0.5997370453706269,67,62,60,male,group B,associate's degree,free/reduced,none,1
1,0,5,1,0,-1.4438006767864864,-2.065867730041591,-1.7786736414187618,46,41,43,male,group A,some high school,standard,completed,0
1,4,0,1,0,0.30036431624399035,0.3076079311318593,-0.044943353112681036,71,74,68,male,group E,associate's degree,standard,completed,1
1,2,2,0,0,-1.8624002751138007,-1.7062502056213715,-1.2932291606930593,40,46,50,male,group C,high school,free/reduced,completed,0
1,3,0,0,1,1.6259297109471527,1.2426134946244307,0.4405011276130216,90,87,75,male,group D,associate's degree,free/reduced,none,2
1,0,4,0,0,0.998030313456181,0.5953019506680352,0.856596396806481,81,78,81,male,group A,some college,free/reduced,completed,2
1,3,5,0,1,-0.7461346795742957,-1.1308621665490197,-1.1545307376285727,56,54,52,male,group D,some high school,free/reduced,none,0
0,2,0,1,0,0.02129791735911408,1.026842979972299,0.856596396806481,67,84,81,female,group C,associate's degree,standard,completed,1
1,1,0,1,1,0.928263713734962,0.4514549408999472,-0.32234019924165397,80,76,64,male,group B,associate's degree,standard,none,2
0,2,0,1,0,0.5096641154076476,0.3795314360159032,0.9952948198709675,74,75,83,female,group C,associate's degree,standard,completed,1
1,0,4,1,1,0.1608311168015522,-0.1958566030564484,0.0244058584195622,69,67,69,male,group A,some college,standard,none,1
1,4,4,1,0,2.2538291084381243,1.2426134946244307,0.856596396806481,99,87,81,male,group E,some college,standard,completed,2
1,2,5,1,1,-1.094967678180391,-1.2747091763171077,-1.7093244298865187,51,52,44,male,group C,some high school,standard,none,0
0,1,0,0,1,-0.9554344787379528,0.09183741647972742,-0.11429256464492427,53,71,67,female,group B,associate's degree,free/reduced,none,0
0,3,2,0,1,-1.2345008776228292,-0.9150916518968879,-1.1545307376285727,49,57,52,female,group D,high school,free/reduced,none,0
0,1,0,1,1,0.4398975156864285,0.4514549408999472,0.7872471852742378,73,76,80,female,group B,associate's degree,standard,none,1
1,1,1,1,1,-0.04846868236210499,-0.6993211372447561,-0.8077846799673566,66,60,57,male,group B,bachelor's degree,standard,none,1
1,3,1,1,0,0.02129791735911408,-0.6273976323607121,-0.044943353112681036,67,61,68,male,group D,bachelor's degree,standard,completed,1
0,2,0,0,0,0.09106451708033314,-0.1958566030564484,0.0244058584195622,68,67,69,female,group C,associate's degree,free/reduced,completed,1
0,2,1,1,0,-0.5368348804106384,-0.41162711770858024,0.4405011276130216,59,64,75,female,group C,bachelor's degree,standard,completed,0
1,2,2,1,1,0.30036431624399035,-0.26778010794049234,-0.25299098770941075,71,66,65,male,group C,high school,standard,none,1
0,3,3,1,0,0.7189639145713047,0.882995970204211,1.5500885121289134,77,82,91,female,group D,master's degree,standard,completed,1
1,2,0,1,1,1.1375635128986192,0.16376092136377138,0.6485487622097513,83,72,78,male,group C,associate's degree,standard,none,2
1,1,1,1,1,-0.2577684815257622,0.09183741647972742,0.0244058584195622,63,71,69,male,group B,bachelor's degree,standard,none,1
0,3,0,0,1,-0.7461346795742957,-0.3397036128245363,-0.39168941077389724,56,65,63,female,group D,associate's degree,free/reduced,none,0
0,2,2,0,0,0.02129791735911408,0.667225455552079,1.0646440314032108,67,79,84,female,group C,high school,free/reduced,completed,1
0,4,2,1,1,0.5794307151288666,1.1706899897403868,0.7178979737419946,75,86,79,female,group E,high school,standard,none,1
0,2,4,1,1,0.30036431624399035,0.811072465320167,0.7872471852742378,71,81,80,female,group C,some college,standard,none,1
0,2,5,0,1,-1.6531004759501435,-1.2027856714330638,-1.0851815260963296,43,53,53,female,group C,some high school,free/reduced,none,0
0,2,2,0,1,-1.7926336753925818,-1.7062502056213715,-1.7786736414187618,41,46,43,female,group C,high school,free/reduced,none,0
0,2,4,1,1,1.0677969131774,1.4583840092765625,1.7581361467256431,82,90,94,female,group C,some college,standard,none,2
1,2,4,1,1,-0.39730168096820034,-0.6273976323607121,-0.46103862230614046,61,61,62,male,group C,some college,standard,none,1
1,2,0,1,0,1.0677969131774,0.3795314360159032,0.5791995506775081,82,75,77,male,group C,associate's degree,standard,completed,2
0,1,5,1,1,-1.7926336753925818,-1.0589386616649759,-1.223879949160816,41,55,51,female,group B,some high school,standard,none,0
1,2,2,1,1,0.30036431624399035,-0.6993211372447561,-0.5303878338383837,71,60,61,male,group C,high school,standard,none,1
1,2,0,1,1,-1.3740340770652673,-2.353561749577767,-2.3334673336767078,47,37,35,male,group C,associate's degree,standard,none,0
1,4,0,1,0,-0.3275350812469813,-0.9870151567809319,-1.0851815260963296,62,56,53,male,group E,associate's degree,standard,completed,1
1,1,0,1,1,1.6259297109471527,0.5953019506680352,0.856596396806481,90,78,81,male,group B,associate's degree,standard,none,2
0,2,1,1,1,1.1375635128986192,1.6741545239286943,1.8274853582578863,83,93,95,female,group C,bachelor's degree,standard,none,2
0,1,4,0,1,-0.39730168096820034,-0.12393309817240444,-0.1836417761771675,61,68,66,female,group B,some college,free/reduced,none,1
1,3,5,1,0,0.6491973148500857,0.019913911595683467,0.0244058584195622,76,70,69,male,group D,some high school,standard,completed,1
1,2,0,1,1,-1.2345008776228292,-1.3466326812011518,-1.7786736414187618,49,51,43,male,group C,associate's degree,standard,none,0
0,3,5,0,0,-2.211233273719896,-1.0589386616649759,-0.5997370453706269,35,55,60,female,group D,some high school,free/reduced,completed,0
1,2,2,0,1,-0.6066014801318576,-0.6273976323607121,-1.1545307376285727,58,61,52,male,group C,high school,free/reduced,none,0
0,2,2,1,1,-0.39730168096820034,0.23568442624781533,-0.39168941077389724,61,73,63,female,group C,high school,standard,none,1
0,1,2,1,0,0.1608311168015522,0.4514549408999472,0.37115191608077835,69,76,74,female,group B,high school,standard,completed,1
1,3,0,1,0,0.02129791735911408,0.16376092136377138,-0.11429256464492427,67,72,67,male,group D,associate's degree,standard,completed,1
1,3,4,1,1,0.8584971140137428,0.23568442624781533,-0.11429256464492427,79,73,67,male,group D,some college,standard,none,1
0,2,2,1,1,0.3701309159652094,0.739148960436123,0.4405011276130216,72,80,75,female,group C,high school,standard,none,1
1,1,4,1,1,-0.3275350812469813,-0.6273976323607121,-0.8077846799673566,62,61,57,male,group B,some college,standard,none,1
0,2,1,1,0,0.7189639145713047,1.7460780288127384,1.8274853582578863,77,94,95,female,group C,bachelor's degree,standard,completed,1
1,3,2,0,1,0.5794307151288666,0.3076079311318593,-0.1836417761771675,75,74,66,male,group D,high school,free/reduced,none,1
1,4,0,1,1,1.4166299117834955,0.3076079311318593,0.5098503391452649,87,74,76,male,group E,associate's degree,standard,none,2
0,1,1,1,1,-1.0252010784591719,-0.3397036128245363,0.0244058584195622,52,65,69,female,group B,bachelor's degree,standard,none,0
1,4,4,1,1,-0.04846868236210499,-0.9150916518968879,-1.1545307376285727,66,57,52,male,group E,some college,standard,none,1
0,2,4,1,0,-0.2577684815257622,0.5953019506680352,0.7872471852742378,63,78,80,female,group C,some college,standard,completed,1
0,2,0,1,1,-1.4438006767864864,-0.843168147012844,-0.8077846799673566,46,58,57,female,group C,associate's degree,standard,none,0
0,2,4,1,1,-0.5368348804106384,0.09183741647972742,0.09375506995180544,59,71,70,female,group C,some college,standard,none,0
0,1,1,1,1,-0.39730168096820034,0.16376092136377138,0.09375506995180544,61,72,70,female,group B,bachelor's degree,standard,none,1
1,0,0,1,1,-0.2577684815257622,-0.6273976323607121,-0.5303878338383837,63,61,61,male,group A,associate's degree,standard,none,1
0,2,4,0,0,-1.7228670756713627,-0.26778010794049234,0.0244058584195622,42,66,69,female,group C,some college,free/reduced,completed,0
1,3,4,0,1,-0.5368348804106384,-0.5554741274766681,-0.5303878338383837,59,62,61,male,group D,some college,free/reduced,none,0
0,3,4,1,1,0.928263713734962,1.4583840092765625,1.4113900890644269,80,90,89,female,group D,some college,standard,none,2
0,1,2,1,1,-0.6066014801318576,-0.5554741274766681,-0.6690862569028702,58,62,59,female,group B,high school,standard,none,0
1,1,5,1,0,1.2770967123410573,1.026842979972299,0.6485487622097513,85,84,78,male,group B,some high school,standard,completed,2
0,2,4,1,1,-1.0252010784591719,-0.843168147012844,-0.7384354684351134,52,58,58,female,group C,some college,standard,none,0
0,3,5,0,1,-2.7693660714896486,-2.569332264229899,-2.5415149682734377,27,34,32,female,group D,some high school,free/reduced,none,0
1,2,4,1,1,-0.5368348804106384,-0.6993211372447561,-0.7384354684351134,59,60,58,male,group C,some college,standard,none,0
1,0,1,0,0,-1.2345008776228292,-0.843168147012844,-0.5997370453706269,49,58,60,male,group A,bachelor's degree,free/reduced,completed,0
1,2,2,1,0,0.1608311168015522,-0.843168147012844,-1.0851815260963296,69,58,53,male,group C,high school,standard,completed,1
1,2,1,0,1,-0.39730168096820034,-0.26778010794049234,-0.5303878338383837,61,66,61,male,group C,bachelor's degree,free/reduced,none,1
0,0,5,0,1,-1.5833338762289244,-0.41162711770858024,-0.7384354684351134,44,64,58,female,group A,some high school,free/reduced,none,0
0,3,5,1,1,0.4398975156864285,1.026842979972299,1.133993242935454,73,84,85,female,group D,some high school,standard,none,1
1,4,4,1,1,1.2073301126198381,0.5233784457839912,0.16310428148404868,84,77,71,male,group E,some college,standard,none,2
0,2,4,0,0,-1.5135672765077055,0.23568442624781533,0.09375506995180544,45,73,70,female,group C,some college,free/reduced,completed,0
1,3,5,1,1,0.5096641154076476,0.3076079311318593,0.2324534930162919,74,74,72,male,group D,some high school,standard,none,1
0,3,4,1,0,1.0677969131774,1.9618485434648703,1.8968345697901297,82,97,96,female,group D,some college,standard,completed,2
0,3,1,1,1,-0.5368348804106384,0.019913911595683467,0.30180270454853514,59,70,73,female,group D,bachelor's degree,standard,none,0
1,4,0,0,1,-1.4438006767864864,-1.9220207202735033,-1.9173720644832484,46,43,41,male,group E,associate's degree,free/reduced,none,0
0,3,5,1,1,0.928263713734962,1.4583840092765625,0.9259456083387243,80,90,82,female,group D,some high school,standard,none,2
0,3,3,0,0,1.2770967123410573,1.8180015336967823,2.1742314159191025,85,95,100,female,group D,master's degree,free/reduced,completed,2
0,0,5,1,1,0.30036431624399035,0.9549194750882549,0.5791995506775081,71,83,77,female,group A,some high school,standard,none,1
1,0,1,1,1,-0.04846868236210499,-0.41162711770858024,-0.46103862230614046,66,64,62,male,group A,bachelor's degree,standard,none,1
0,1,0,1,1,0.928263713734962,1.1706899897403868,0.9952948198709675,80,86,83,female,group B,associate's degree,standard,none,2
1,2,0,1,0,1.4166299117834955,2.1776190581170023,1.8274853582578863,87,100,95,male,group C,associate's degree,standard,completed,2
1,2,3,0,1,0.8584971140137428,0.811072465320167,0.16310428148404868,79,81,71,male,group C,master's degree,free/reduced,none,1
0,4,5,0,1,-2.001933474556239,-1.4904796909692395,-1.6399752183542755,38,49,45,female,group E,some high school,free/reduced,none,0
0,0,5,0,1,-2.001933474556239,-1.9220207202735033,-1.7786736414187618,38,43,43,female,group A,some high school,free/reduced,none,0
0,4,4,1,1,0.02129791735911408,0.4514549408999472,0.4405011276130216,67,76,75,female,group E,some college,standard,none,1
0,4,1,1,1,-0.18800188180454314,0.23568442624781533,0.09375506995180544,64,73,70,female,group E,bachelor's degree,standard,none,1
0,2,0,0,1,-0.6763680798530766,0.5953019506680352,-0.11429256464492427,57,78,67,female,group C,associate's degree,free/reduced,none,0
0,3,2,1,1,-0.3275350812469813,-0.41162711770858024,-0.32234019924165397,62,64,64,female,group D,high school,standard,none,1
1,3,3,1,1,0.4398975156864285,0.019913911595683467,0.4405011276130216,73,70,75,male,group D,master's degree,standard,none,1
1,4,5,0,0,0.4398975156864285,-0.1958566030564484,-0.6690862569028702,73,67,59,male,group E,some high school,free/reduced,completed,1
0,3,4,1,1,0.7189639145713047,-0.12393309817240444,0.5791995506775081,77,68,77,female,group D,some college,standard,none,1
1,4,4,1,1,0.6491973148500857,-0.1958566030564484,-0.11429256464492427,76,67,67,male,group E,some college,standard,none,1
1,2,0,1,0,-0.6763680798530766,-1.1308621665490197,-0.8771338914995999,57,54,56,male,group C,associate's degree,standard,completed,0
0,2,5,1,0,-0.11823528208332405,0.3076079311318593,0.5791995506775081,65,74,77,female,group C,some high school,standard,completed,1
1,0,2,0,1,-1.3042674773440481,-1.7781737105054154,-1.9173720644832484,48,45,41,male,group A,high school,free/reduced,none,0
0,1,2,0,1,-1.16473427790161,-0.1958566030564484,-0.39168941077389724,50,67,63,female,group B,high school,free/reduced,none,0
0,2,0,1,1,1.2770967123410573,1.3864605043925187,1.8274853582578863,85,89,95,female,group C,associate's degree,standard,none,2
1,1,5,1,1,0.5096641154076476,-0.4835506225926242,-0.8077846799673566,74,63,57,male,group B,some high school,standard,none,1
1,3,5,1,1,-0.4670682806894194,-0.7712446421288001,-1.0158323145640864,60,59,54,male,group D,some high school,standard,none,0
0,2,5,1,0,-0.5368348804106384,-1.1308621665490197,-0.11429256464492427,59,54,67,female,group C,some high school,standard,completed,0
1,0,4,1,1,-0.9554344787379528,-1.9220207202735033,-1.7786736414187618,53,43,43,male,group A,some college,standard,none,0
0,0,4,0,1,-1.2345008776228292,-0.3397036128245363,-0.9464831030318431,49,65,55,female,group A,some college,free/reduced,none,0
0,3,2,1,0,1.4863965115047144,2.105695553232958,2.1742314159191025,88,99,100,female,group D,high school,standard,completed,2
0,2,2,1,1,-0.8856678790167338,-0.7712446421288001,-0.46103862230614046,54,59,62,female,group C,high school,standard,none,0
0,2,5,1,1,-0.2577684815257622,0.23568442624781533,-0.044943353112681036,63,73,68,female,group C,some high school,standard,none,1
1,1,0,1,0,-0.11823528208332405,-0.3397036128245363,-0.39168941077389724,65,65,63,male,group B,associate's degree,standard,completed,1
0,1,0,1,1,1.0677969131774,0.739148960436123,0.5791995506775081,82,80,77,female,group B,associate's degree,standard,none,2
0,3,2,0,0,-1.0252010784591719,-0.9150916518968879,-0.8771338914995999,52,57,56,female,group D,high school,free/reduced,completed,0
1,3,0,1,0,1.4166299117834955,1.026842979972299,1.133993242935454,87,84,85,male,group D,associate's degree,standard,completed,2
0,3,3,1,0,0.23059771652277128,0.09183741647972742,0.37115191608077835,70,71,74,female,group D,master's degree,standard,completed,1
1,4,4,1,0,1.2073301126198381,0.9549194750882549,0.6485487622097513,84,83,78,male,group E,some college,standard,completed,2
1,3,0,1,1,0.30036431624399035,-0.26778010794049234,-0.5997370453706269,71,66,60,male,group D,associate's degree,standard,none,1
1,1,5,1,0,-0.2577684815257622,-0.1958566030564484,-0.11429256464492427,63,67,67,male,group B,some high school,standard,completed,1
0,2,1,0,0,-1.094967678180391,0.16376092136377138,0.7178979737419946,51,72,79,female,group C,bachelor's degree,free/reduced,completed,0
1,4,2,1,1,1.2073301126198381,0.23568442624781533,0.0244058584195622,84,73,69,male,group E,high school,standard,none,2
1,2,1,1,0,0.30036431624399035,0.3076079311318593,-0.044943353112681036,71,74,68,male,group C,bachelor's degree,standard,completed,1
1,2,0,1,1,0.5096641154076476,0.23568442624781533,-0.11429256464492427,74,73,67,male,group C,associate's degree,standard,none,1
1,3,4,1,1,0.09106451708033314,-0.7712446421288001,-0.46103862230614046,68,59,62,male,group D,some college,standard,none,1
1,4,2,0,0,-0.6763680798530766,-0.9870151567809319,-1.0158323145640864,57,56,54,male,group E,high school,free/reduced,completed,0
0,2,0,0,0,1.0677969131774,1.6741545239286943,1.6887869351934,82,93,93,female,group C,associate's degree,free/reduced,completed,2
0,3,2,1,0,-0.6763680798530766,-0.843168147012844,-0.32234019924165397,57,58,64,female,group D,high school,standard,completed,0
0,3,3,0,0,-1.3740340770652673,-0.843168147012844,-0.11429256464492427,47,58,67,female,group D,master's degree,free/reduced,completed,0
0,0,5,1,0,-0.5368348804106384,1.0987664848563428,0.7872471852742378,59,85,80,female,group A,some high school,standard,completed,0
1,1,4,0,1,-1.7926336753925818,-2.2097147398096793,-2.402816545208951,41,39,34,male,group B,some college,free/reduced,none,0
0,2,4,0,1,-0.3275350812469813,-0.1958566030564484,-0.46103862230614046,62,67,62,female,group C,some college,free/reduced,none,1
1,2,1,1,1,1.3468633120622764,0.9549194750882549,1.2033424544676972,86,83,86,male,group C,bachelor's degree,standard,none,2
1,2,5,0,1,0.1608311168015522,0.09183741647972742,-0.25299098770941075,69,71,65,male,group C,some high school,free/reduced,none,1
1,0,5,0,1,-0.11823528208332405,-0.7712446421288001,-1.0851815260963296,65,59,53,male,group A,some high school,free/reduced,none,1
1,2,5,0,1,0.09106451708033314,-0.4835506225926242,-1.0158323145640864,68,63,54,male,group C,some high school,free/reduced,none,1
1,2,0,0,1,-0.18800188180454314,-0.26778010794049234,-0.6690862569028702,64,66,59,male,group C,associate's degree,free/reduced,none,1
0,2,2,1,1,-0.39730168096820034,0.16376092136377138,0.09375506995180544,61,72,70,female,group C,high school,standard,none,1
1,2,2,1,1,-0.39730168096820034,-0.9870151567809319,-0.9464831030318431,61,56,55,male,group C,high school,standard,none,1
0,0,5,0,1,-1.3740340770652673,-0.7712446421288001,-1.2932291606930593,47,59,50,female,group A,some high school,free/reduced,none,0
1,2,5,1,1,0.4398975156864285,-0.26778010794049234,-0.1836417761771675,73,66,66,male,group C,some high school,standard,none,1
1,2,4,0,0,-1.16473427790161,-1.5624031958532836,-1.0851815260963296,50,48,53,male,group C,some college,free/reduced,completed,0
1,3,0,1,1,0.5794307151288666,-0.12393309817240444,-0.32234019924165397,75,68,64,male,group D,associate's degree,standard,none,1
1,3,0,0,1,0.5794307151288666,-0.26778010794049234,0.30180270454853514,75,66,73,male,group D,associate's degree,free/reduced,none,1
1,2,2,1,1,0.23059771652277128,-0.9870151567809319,-1.223879949160816,70,56,51,male,group C,high school,standard,none,1
1,3,5,1,0,1.5561631112259335,1.3145369995084746,0.9259456083387243,89,88,82,male,group D,some high school,standard,completed,2
0,2,4,1,0,0.02129791735911408,0.811072465320167,0.7178979737419946,67,81,79,female,group C,some college,standard,completed,1
0,3,2,1,1,0.7887305142925238,0.811072465320167,0.7872471852742378,78,81,80,female,group D,high school,standard,none,1
0,0,5,0,1,-0.5368348804106384,0.23568442624781533,0.0244058584195622,59,73,69,female,group A,some high school,free/reduced,none,0
0,1,0,1,1,0.4398975156864285,0.9549194750882549,0.5098503391452649,73,83,76,female,group B,associate's degree,standard,none,1
1,0,5,0,1,0.8584971140137428,0.882995970204211,0.30180270454853514,79,82,73,male,group A,some high school,free/reduced,none,1
0,2,5,1,0,0.02129791735911408,0.3076079311318593,0.5791995506775081,67,74,77,female,group C,some high school,standard,completed,1
1,3,4,0,1,0.1608311168015522,-0.26778010794049234,-0.5997370453706269,69,66,60,male,group D,some college,free/reduced,none,1
1,2,2,1,0,1.3468633120622764,0.811072465320167,0.7872471852742378,86,81,80,male,group C,high school,standard,completed,2
1,1,2,1,1,-1.3740340770652673,-1.7062502056213715,-1.8480228529510052,47,46,42,male,group B,high school,standard,none,0
1,1,0,1,1,0.998030313456181,0.23568442624781533,0.2324534930162919,81,73,72,male,group B,associate's degree,standard,none,2
0,2,4,0,0,-0.18800188180454314,1.0987664848563428,1.133993242935454,64,85,85,female,group C,some college,free/reduced,completed,1
0,4,4,1,1,2.3235957081593432,1.6022310190446505,1.9661837813223728,100,92,97,female,group E,some college,standard,none,2
